Q-type	d	M	nbits	norm	T-num	V-num	C-size	T-ms	VE-ms	VD-ms	TE-ms	TD-ms	V-err	T-err
PQ	32	4	8	False	10000	20000	4	609	11	1	5	1	0.066315	0.058327
PQ	32	2	8	False	10000	20000	2	315	12	2	6	0	0.140548	0.124291
PQ	32	8	8	False	10000	20000	8	1210	21	2	11	1	0.016446	0.014377
PQ	32	16	8	False	10000	20000	16	2355	29	3	17	2	0.001056	0.000923
PQ	32	4	7	False	10000	20000	4	393	7	1	5	1	0.078125	0.072691
PQ	32	4	6	False	10000	20000	3	254	3	1	2	0	0.096261	0.092435
PQ	32	4	5	False	10000	20000	3	159	2	1	1	1	0.119189	0.116417
PQ	8	4	8	False	10000	20000	4	585	6	2	4	0	0.001046	0.000921
PQ	16	4	8	False	10000	20000	4	598	11	0	8	0	0.016417	0.014378
PQ	64	4	8	False	10000	20000	4	603	27	2	14	1	0.140774	0.123949
PQ	32	4	8	False	10000	40000	4	595	25	2	11	0	0.066035	0.058383
PQ	32	4	8	False	10000	80000	4	605	43	4	5	0	0.066267	0.058237
PQ	32	4	8	False	10000	160000	4	587	88	8	7	0	0.066297	0.058157
PQ	32	4	8	True	10000	20000	4	594	11	0	6	1	0.066943	0.058841
PQ	32	2	8	True	10000	20000	2	299	13	2	7	0	0.138420	0.122089
PQ	32	8	8	True	10000	20000	8	1184	19	2	10	0	0.017551	0.015209
PQ	32	16	8	True	10000	20000	16	2327	32	3	17	1	0.001283	0.001101
PQ	32	4	7	True	10000	20000	4	397	6	1	2	0	0.078968	0.072994
PQ	32	4	6	True	10000	20000	3	259	2	1	3	0	0.096587	0.092279
PQ	32	4	5	True	10000	20000	3	152	2	0	0	0	0.118384	0.115349
PQ	8	4	8	True	10000	20000	4	588	13	1	5	1	0.001392	0.001203
PQ	16	4	8	True	10000	20000	4	589	16	0	5	0	0.018180	0.015748
PQ	64	4	8	True	10000	20000	4	606	29	2	14	1	0.139870	0.123157
PQ	32	4	8	True	10000	40000	4	608	23	2	7	0	0.066930	0.058946
PQ	32	4	8	True	10000	80000	4	597	42	5	6	0	0.067029	0.058961
PQ	32	4	8	True	10000	160000	4	583	82	9	6	0	0.066848	0.058879
RQ	32	4	8	False	10000	20000	4	8344	139	0	75	0	0.079207	0.061852
RQ	32	2	8	False	10000	20000	2	3171	65	0	34	0	0.144107	0.123173
RQ	32	8	8	False	10000	20000	8	19876	320	1	161	0	0.024508	0.015369
RQ	32	16	8	False	10000	20000	16	42392	671	0	341	0	0.002914	0.000963
RQ	32	4	7	False	10000	20000	4	4367	134	1	67	0	0.092974	0.079960
RQ	32	4	6	False	10000	20000	3	1827	119	1	61	0	0.109473	0.100019
RQ	32	4	5	False	10000	20000	3	927	106	0	53	0	0.128929	0.122527
RQ	8	4	8	False	10000	20000	4	8725	133	0	68	0	0.001414	0.001233
RQ	16	4	8	False	10000	20000	4	8580	140	0	72	0	0.022147	0.017633
RQ	64	4	8	False	10000	20000	4	9258	186	0	97	0	0.145442	0.113165
RQ	32	4	8	False	10000	40000	4	8904	295	1	82	0	0.078942	0.061803
RQ	32	4	8	False	10000	80000	4	9031	614	0	80	0	0.079191	0.061846
RQ	32	4	8	False	10000	160000	4	9093	1174	0	88	0	0.079233	0.061959
RQ	32	4	8	True	10000	20000	4	9067	154	1	84	0	0.076440	0.059695
RQ	32	2	8	True	10000	20000	2	3390	69	0	38	0	0.140481	0.121202
RQ	32	8	8	True	10000	20000	8	20022	326	0	160	0	0.023361	0.014771
RQ	32	16	8	True	10000	20000	16	42932	689	2	342	1	0.002768	0.000928
RQ	32	4	7	True	10000	20000	4	4497	139	0	73	0	0.089993	0.077210
RQ	32	4	6	True	10000	20000	3	1847	117	0	62	0	0.106193	0.096894
RQ	32	4	5	True	10000	20000	3	950	106	0	55	0	0.125177	0.119016
RQ	8	4	8	True	10000	20000	4	8757	131	0	71	0	0.001175	0.000991
RQ	16	4	8	True	10000	20000	4	8954	141	0	73	0	0.019900	0.015965
RQ	64	4	8	True	10000	20000	4	9451	188	1	92	1	0.143558	0.111987
RQ	32	4	8	True	10000	40000	4	9141	305	1	81	0	0.076220	0.059876
RQ	32	4	8	True	10000	80000	4	9113	602	0	79	0	0.076229	0.059685
RQ	32	4	8	True	10000	160000	4	9144	1165	3	79	0	0.076348	0.059574
LSQ	32	4	8	False	10000	20000	4	13717	1242	0	630	0	0.077733	0.061825
LSQ	32	2	8	False	10000	20000	2	6391	398	1	206	0	0.143633	0.122106
LSQ	32	8	8	False	10000	20000	8	37700	4294	0	2137	0	0.035147	0.034679
LSQ	32	16	8	False	10000	20000	16	143503	16994	2	8454	0	0.017309	0.017361
LSQ	32	4	7	False	10000	20000	4	8510	751	0	376	0	0.090654	0.076800
LSQ	32	4	6	False	10000	20000	3	6055	490	0	245	1	0.106801	0.095957
LSQ	32	4	5	False	10000	20000	3	4273	355	0	171	0	0.127126	0.119030
LSQ	8	4	8	False	10000	20000	4	12324	1196	0	624	1	0.006772	0.006805
LSQ	16	4	8	False	10000	20000	4	13730	1218	1	632	0	0.026706	0.025298
LSQ	64	4	8	False	10000	20000	4	13358	1280	0	629	1	0.143778	0.106286
LSQ	32	4	8	False	10000	40000	4	13053	2465	0	622	0	0.077969	0.061662
LSQ	32	4	8	False	10000	80000	4	13449	4957	1	624	1	0.078085	0.062075
LSQ	32	4	8	False	10000	160000	4	13323	9895	3	625	0	0.078047	0.062164
LSQ	32	4	8	True	10000	20000	4	13256	1254	0	624	0	0.075356	0.060081
LSQ	32	2	8	True	10000	20000	2	6453	400	0	202	0	0.139891	0.118653
LSQ	32	8	8	True	10000	20000	8	38357	4290	1	2136	0	0.034032	0.033419
LSQ	32	16	8	True	10000	20000	16	145533	17141	1	8585	0	0.016769	0.016793
LSQ	32	4	7	True	10000	20000	4	9543	745	1	371	0	0.087554	0.074623
LSQ	32	4	6	True	10000	20000	3	6241	495	0	247	0	0.103314	0.092750
LSQ	32	4	5	True	10000	20000	3	4415	347	0	174	0	0.123112	0.115710
LSQ	8	4	8	True	10000	20000	4	12838	1210	0	602	0	0.005961	0.005958
LSQ	16	4	8	True	10000	20000	4	14144	1216	1	629	0	0.024589	0.023235
LSQ	64	4	8	True	10000	20000	4	12977	1271	0	631	0	0.142166	0.104999
LSQ	32	4	8	True	10000	40000	4	13118	2483	1	622	0	0.075620	0.060590
LSQ	32	4	8	True	10000	80000	4	12552	4943	1	621	0	0.075536	0.060217
LSQ	32	4	8	True	10000	160000	4	13750	9880	2	613	0	0.075515	0.060048
